,balance
2025-08-02,1046.396160828097
2025-08-03,1046.081585784442
2025-08-04,1045.609862781978
2025-08-05,1033.590797484454
2025-08-06,1041.0667359968902
2025-08-07,1048.8747365168672
2025-08-08,1048.8747365168672
2025-08-09,1048.8747365168672
2025-08-10,1048.951377489594
2025-08-11,1056.7412970407438
2025-08-12,1078.3097797967896
2025-08-13,1086.0257318541496
2025-08-14,1115.1275899745447
2025-08-15,1107.8130992348013
2025-08-16,1107.8130992348013
2025-08-17,1107.8130992348013
2025-08-18,1107.8130992348013
2025-08-19,1111.010412354254
2025-08-20,1104.9883835467092
2025-08-21,1115.5852783084279
2025-08-22,1108.6813845564038
2025-08-23,1108.6813845564038
2025-08-24,1106.4026332659812
2025-08-25,1104.8849661222348
2025-08-26,1105.321115917438
2025-08-27,1099.3605412916236
2025-08-28,1093.8637385851657
2025-08-29,1088.3944198922397
2025-08-30,1088.3944198922397
2025-08-31,1088.3944198922397
2025-09-01,1088.3944198922397
2025-09-02,1118.556026644871
2025-09-03,1121.95519567897
2025-09-04,1124.071697894978
2025-09-05,1124.071697894978
2025-09-06,1124.071697894978
2025-09-07,1124.071697894978
2025-09-08,1124.071697894978
2025-09-09,1124.071697894978
2025-09-10,1110.0215007086465
2025-09-11,1110.0215007086465
2025-09-12,1110.0215007086465
2025-09-13,1110.0215007086465
2025-09-14,1110.0215007086465
2025-09-15,1110.0215007086465
2025-09-16,1122.3327689427526
2025-09-17,1105.9843487346664
2025-09-18,1101.5520927738644
2025-09-19,1090.564110648445
2025-09-20,1090.564110648445
2025-09-21,1090.564110648445
2025-09-22,1090.564110648445
2025-09-23,1087.0299952636221
2025-09-24,1103.5213853141115
2025-09-25,1121.6551902418903
2025-09-26,1117.9280501577252
2025-09-27,1117.9280501577252
2025-09-28,1117.9280501577252
2025-09-29,1117.9280501577252
2025-09-30,1106.7767178574018
2025-10-01,1106.6731330601917
2025-10-02,1094.5761880942136
2025-10-03,1081.9393240535155
2025-10-04,1081.9393240535155
2025-10-05,1081.9393240535155
2025-10-06,1081.9393240535155
2025-10-07,1131.5486603077372
2025-10-08,1125.8909170061988
2025-10-09,1135.5392431737544
2025-10-10,1141.0875071271164
2025-10-11,1141.0875071271164
2025-10-12,1132.9460037772126
2025-10-13,1128.557790184413
2025-10-14,1117.114256902328
2025-10-15,1123.3592377104433
2025-10-16,1136.915558117354
2025-10-17,1130.485790268185
2025-10-18,1130.485790268185
2025-10-19,1132.1258812549072
2025-10-20,1137.3602947194538
2025-10-21,1139.715212679218
2025-10-22,1134.0166366158223
2025-10-23,1142.5217613904413
2025-10-24,1127.9660180607493
2025-10-25,1127.9660180607493
2025-10-26,1127.9660180607493
2025-10-27,1125.469481286469
2025-10-28,1132.0158736357762
2025-10-29,1118.2261700507024
2025-10-30,1114.1386396407138
2025-10-31,1108.5679464425102
2025-11-01,1108.5679464425102
2025-11-02,1108.5679464425102
2025-11-03,1108.5679464425102
2025-11-04,1112.3497426502704
2025-11-05,1119.6325284732047
2025-11-06,1116.4150521512477
2025-11-07,1114.0343658308389
2025-11-08,1114.0343658308389
2025-11-09,1114.0343658308389
2025-11-10,1114.0343658308389
2025-11-11,1114.0343658308389
2025-11-12,1121.1660860095624
2025-11-13,1128.138444822852
2025-11-14,1116.6731546557307
2025-11-15,1116.6731546557307
2025-11-16,1116.6731546557307
2025-11-17,1116.6731546557307
2025-11-18,1104.707896047501
2025-11-19,1113.8258474875752
2025-11-20,1113.8258474875752
2025-11-21,1127.7130803763848
2025-11-22,1127.7130803763848
2025-11-23,1127.7130803763848
2025-11-24,1127.7130803763848
2025-11-25,1139.4616271935238
2025-11-26,1160.0610465148131
2025-11-27,1159.2075576370016
2025-11-28,1157.4660051194728
2025-11-29,1157.4660051194728
2025-11-30,1157.4660051194728
2025-12-01,1164.7882277307767
2025-12-02,1167.103207545666
2025-12-03,1173.5241394387576
2025-12-04,1144.9841971047886
2025-12-05,1138.7555639773389
2025-12-06,1138.7555639773389
2025-12-07,1138.7555639773389
2025-12-08,1133.0617861574524
2025-12-09,1127.3964772266647
2025-12-10,1116.150697366329
2025-12-11,1116.150697366329
2025-12-12,1110.7785080078963
2025-12-13,1110.7785080078963
2025-12-14,1110.7785080078963
2025-12-15,1118.8992184585939
2025-12-16,1144.156643892308
2025-12-17,1152.7378187215002
2025-12-18,1162.2025618484201
2025-12-19,1167.110207892062
2025-12-20,1167.110207892062
2025-12-21,1167.110207892062
2025-12-22,1167.110207892062
2025-12-23,1161.2746568526013
2025-12-24,1159.9985458542294
2025-12-25,1143.942487439744
2025-12-26,1132.5316611275325
2025-12-27,1132.5316611275325
2025-12-28,1132.5316611275325
2025-12-29,1132.5316611275325
2025-12-30,1129.6584767735887
2025-12-31,1130.608846967343
